name,country,country_code,city,address,latitude,longitude,parent_group,website,founded_year,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,reporting_year,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,featured
Sparbanken Skåne,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.sparbankenskane.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Spira,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.tjustbanken.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Tranemo,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.sparbankentranemo.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Tanum,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.sparbankentanum.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Sjuhärad,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://sparbankensjuharad.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparbanken Mälardalen,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.sparbankenmalardalen.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sörmlands Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.sormlandssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Södra Hestra Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.sodrahestrasparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sölvesborg-Mjällby Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.smsparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Tidaholms Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.tidaholms-sparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Tjörns Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.tjorns-sparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Ulricehamns Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.ulricehamnssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Valdemarsviks Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.valdemarsvikssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Vadstena Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.vadstenasparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Westra Wermlands Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.wwsparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
